規格,厚度,厚度公差,外徑,外徑公差
A-40,2,0.2,48,0.2
A-50,2,0.2,60,0.2
A-65,2.5,0.3,76,0.3
A-80,3,0.3,89,0.3
A-90,3.4,0.3,100,0.4
A-100,3.5,0.4,114,0.4
A-125,4.5,0.4,140,0.5
A-150,5.5,0.4,165,0.5
A-200,7,0.5,216,0.7
A-250,8.4,0.6,267,0.9
A-300,9.9,0.7,318,1
A-350,11.2,0.7,370,1.2
A-400,12.6,0.8,420,1.3
B-13,2.5,0.3,18,0.2
B-16,3,0.3,22,0.2
B-20,3,0.3,26,0.2
B-25,3.5,0.4,32,0.2
B-30,3.5,0.4,38,0.3
B-40,4,0.4,48,0.3
B-50,4.5,0.4,60,0.4
B-65,4.5,0.4,76,0.5
B-80,5.9,0.4,89,0.5
B-100,7.1,0.5,114,0.6
B-125,7.5,0.5,140,0.8
B-150,9.6,0.7,165,1
B-200,11,0.7,216,1.3
B-250,13.6,0.9,267,1.6
B-300,16.2,1.1,318,1.9
B-350,19.3,1.3,370,2.2
B-400,22,1.5,420,2.6
W-13,2.5,0.2,18,0.2
W-16,3,0.3,22,0.2
W-20,3,0.3,26,0.2
W-25,3.5,0.3,32,0.2
W-30,3.5,0.3,38,0.3
W-40,4,0.3,48,0.3
W-50,4.5,0.4,60,0.4
W-65,4.5,0.4,76,0.5
W-80,5.9,0.4,89,0.5
W-100,7,0.4,114,0.6
W-125,7.5,0.5,140,0.8
W-150,9.6,0.6,165,1
W-200,11.5,0.7,216,1.3
W-250,14.2,0.9,267,1.6
W-300,17,1.1,318,1.9
W-350,19.3,1.3,370,2.2
W-400,22,1.5,420,2.6
E-13,2,0.2,18,0.2
E-16,2,0.2,22,0.2
E-20,2,0.2,26,0.2
E-28,3,0.3,34,0.3
E-35,3.5,0.4,42,0.3
E-41,3.5,0.4,48,0.4
E-52,4,0.4,60,0.5
E-65,4.5,0.4,76,0.5
E-80,5.5,0.4,89,0.5
E-100,7.1,0.5,114,0.6
E-125,7.5,0.5,140,0.8
E-150,9.2,0.7,165,1
E-200,11.2,0.7,216,1.3
ESI-80,3,0.3,89,0.5
ESI-100,4,0.4,114,0.6
ESI-125,4.5,0.4,140,0.8
ESI-150,5.5,0.4,165,1
HIW-13,2.5,0.2,18,0.2
HIW-16,3,0.3,22,0.2
HIW-20,3,0.3,26,0.2
HIW-25,3.5,0.3,32,0.2
HIW-30,3.5,0.3,38,0.3
HIW-40,4,0.3,48,0.3
HIW-50,4.5,0.4,60,0.4
HIW-65,4.5,0.4,76,0.5
HIW-80,5.9,0.4,89,0.5
HIW-100,7.1,0.5,114,0.6
HIW-125,8.1,0.6,140,0.8
HIW-150,9.6,0.6,165,1
HIW-200,11.2,0.7,216,1.3
HIW-250,13.9,0.9,267,1.6
HIW-300,16.6,1.1,318,1.9
HIW-350,19.3,1.3,370,2.2
HIW-400,22,1.5,420,2.6
FB-50,4.3,0.2,60,0.15
FB-65,4.7,0.2,76,0.18
FB-80,5.7,0.3,89,0.2
FB-100,7,0.4,114,0.23
FB-125,7.4,0.4,140,0.25
FB-150,8.4,0.4,165,0.28
FB-200,9.5,0.5,216,0.38
R-125,3.5,0.2,140,0.8
R-150,4,0.3,165,1
R-200,5,0.4,216,1.3
R-250,7.1,0.5,267,1.6
R-300,8.6,0.6,318,1.9
R-350,10,0.7,370,2.2
R-400,12.1,0.9,420,2.6
